Number_1,Number_2,Number_3,Number_4,Number_5,Number_6
2,12,13,34,39,42
4,7,13,31,32,33
6,8,35,39,41,47
1,9,18,25,29,30
12,31,35,40,45,47
8,19,23,33,39,47
1,5,29,35,39,41
5,14,25,27,40,47
2,9,31,35,37,47
3,19,21,30,38,41
19,27,29,36,48,49
12,13,15,30,32,36
2,21,26,39,45,47
7,13,21,28,32,35
5,6,21,30,32,40
12,18,24,27,38,43
5,29,35,39,45,48
8,11,17,19,21,36
12,16,19,33,44,46
4,21,30,32,36,39
15,26,29,31,36,47
2,13,25,30,32,41
13,16,25,28,36,44
12,17,22,27,44,47
29,33,35,37,40,46
1,3,5,11,13,17
6,19,31,32,37,41
5,16,17,33,44,49
5,14,18,24,39,46
11,13,17,27,41,44
8,16,23,24,33,43
4,11,15,21,35,37
5,7,12,14,17,48
12,17,23,25,42,44
2,10,19,20,21,27
6,14,24,33,38,49
6,8,16,17,20,47
9,19,21,31,44,46
12,14,23,37,38,42
9,20,28,29,36,41
8,24,29,35,36,48
3,15,18,23,28,47
8,20,26,27,29,39
15,19,22,39,44,49
18,19,23,33,48,49
5,11,24,26,33,37
6,33,35,36,37,38
12,26,34,37,42,47
3,13,15,32,33,44
22,24,26,30,37,42
12,22,24,25,31,41
4,28,31,39,40,42
7,23,25,31,37,44
12,17,21,22,33,47
9,14,23,39,44,48
4,7,12,17,42,48
2,17,18,23,43,44
4,5,11,15,16,23
1,3,4,9,18,30
4,11,32,36,37,49
3,4,30,33,36,48
2,7,10,23,26,35
6,12,14,20,26,45
5,6,11,19,34,47
23,29,30,33,41,49
4,10,20,27,41,48
2,12,27,34,47,49
6,13,17,27,28,45
1,2,20,24,43,45
6,7,10,17,19,20
5,29,35,43,44,47
10,11,12,15,37,44
10,23,36,41,44,47
3,12,25,26,27,33
7,19,41,43,45,49
10,19,22,23,39,42
4,12,17,18,35,47
14,27,33,43,45,49
1,13,15,17,23,36
12,21,26,37,39,49
3,7,17,19,21,44
2,4,29,35,37,49
1,19,24,28,32,43
1,20,25,26,34,38
3,5,15,21,39,48
11,14,42,43,45,48
3,7,25,29,30,44
10,13,28,33,34,48
3,16,19,41,43,48
10,11,14,16,28,38
1,14,18,32,42,44
14,19,25,29,33,46
7,14,36,40,45,46
2,15,32,38,40,48
14,18,21,22,30,31
5,7,13,20,28,36
18,22,23,32,48,49
1,6,25,26,31,42
19,22,25,32,33,44
1,3,18,36,40,41
2,5,20,26,32,42
9,21,23,27,41,47
6,13,22,27,29,46
5,14,17,21,45,49
10,12,19,20,22,29
7,21,26,36,43,49
6,25,27,36,43,47
1,8,29,30,37,45
4,6,7,18,34,39
12,14,16,27,30,40
9,14,16,19,24,41
20,25,33,41,44,45
7,13,21,26,29,46
1,24,27,38,42,47
15,21,36,38,43,49
14,19,22,25,34,36
6,8,21,27,44,45
2,4,15,35,44,49
12,21,25,28,37,48
4,8,13,15,24,28
18,19,28,34,38,47
13,18,19,20,24,46
1,3,29,32,36,42
8,15,24,27,38,40
13,16,28,37,40,42
7,11,12,15,20,37
7,15,22,31,37,38
16,23,29,31,37,41
1,6,17,23,27,38
2,19,22,26,27,49
3,10,13,15,24,39
3,12,17,20,29,48
4,8,27,41,42,45
2,5,15,26,30,35
4,9,26,29,42,43
9,15,24,39,41,44
9,14,19,30,35,40
4,11,13,23,35,42
2,15,19,26,34,41
2,12,25,28,34,49
6,18,26,36,38,43
11,15,36,42,45,47
8,21,25,38,41,44
6,10,29,39,44,45
21,22,26,29,31,45
4,18,19,27,32,45
6,9,11,17,18,43
4,15,17,31,34,45
8,21,22,27,28,39
1,8,14,17,28,29
2,11,28,35,36,45
11,15,30,33,35,49
1,2,3,12,25,29
7,15,28,29,35,49
9,17,18,23,24,34
3,9,11,23,27,31
5,7,26,28,29,49
6,11,19,30,38,44
17,27,29,43,45,46
23,27,36,37,42,44
16,17,19,31,32,37
6,15,16,20,32,35
1,16,17,31,33,39
3,5,14,27,40,41
2,5,8,28,37,48
16,18,30,31,37,46
21,26,29,33,37,46
3,27,30,35,41,48
22,30,33,34,43,47
1,11,13,20,31,37
13,20,28,30,31,44
18,22,28,30,38,48
2,4,9,10,32,41
1,6,10,26,28,44
1,2,4,6,23,47
1,6,14,36,37,44
23,32,35,38,41,45
5,8,11,14,29,41
4,15,21,30,34,42
7,9,29,31,33,35
5,6,10,23,27,29
9,19,28,36,42,44
10,20,30,43,45,49
7,14,15,24,38,45
1,22,26,28,30,49
3,4,24,31,40,46
10,20,24,27,29,47
4,33,39,45,47,49
5,12,18,30,40,43
1,9,10,23,28,48
5,14,16,31,44,47
13,14,19,20,45,46
4,23,26,29,37,43
6,26,28,29,39,40
10,17,22,37,39,48
3,11,15,16,26,42
1,5,8,12,16,19
29,33,34,42,43,44
10,20,26,30,39,46
6,7,12,20,23,48
6,8,15,24,29,39
13,14,32,38,41,48
4,19,24,36,37,44
2,10,22,40,44,45
9,13,23,26,40,46
4,13,18,22,24,25
6,11,16,18,29,41
4,9,25,37,41,45
8,29,32,34,36,41
3,7,20,22,32,37
17,25,28,31,42,44
2,15,17,22,26,43
3,4,28,29,32,37
6,8,18,24,28,45
8,15,19,26,31,34
22,33,35,37,40,41
3,5,11,25,28,44
13,15,36,42,47,49
1,10,12,15,24,31
2,8,11,12,13,24
1,10,26,32,35,42
2,23,36,38,46,47
6,20,29,42,43,44
24,26,28,39,43,47
7,11,17,28,43,44
10,11,17,35,38,45
13,20,24,25,40,45
9,17,31,37,47,48
1,4,17,19,26,34
11,16,40,41,45,49
10,22,31,36,45,48
3,14,19,24,36,42
5,9,17,20,22,32
8,18,21,26,29,48
18,22,24,29,42,48
12,17,21,22,29,39
5,7,16,21,24,43
15,27,31,35,37,38
8,17,18,22,41,43
13,16,18,32,40,48
6,9,26,30,35,37
20,21,30,32,34,40
4,12,20,28,29,36
3,10,17,29,37,49
2,9,16,39,45,49
5,6,11,16,24,29
22,25,35,41,42,49
8,14,27,28,31,38
3,9,33,36,38,46
1,4,16,22,33,40
10,11,29,31,41,45
3,6,23,33,42,47
7,13,14,16,30,48
17,32,34,39,41,47
4,14,24,39,44,45
17,23,25,28,35,39
3,5,9,24,28,37
1,10,16,20,34,42
7,12,18,26,27,44
1,33,40,42,43,46
1,11,27,36,37,38
2,21,23,25,36,48
16,18,20,22,27,39
3,5,17,21,22,45
1,7,16,30,31,37
3,10,14,24,33,38
3,5,7,22,24,44
7,16,27,32,37,49
5,14,22,32,34,41
11,19,23,37,45,46
5,18,37,40,45,46
2,17,21,23,36,40
12,24,31,39,43,47
23,26,27,32,43,47
4,8,13,22,24,33
12,17,18,20,24,28
7,13,40,42,43,47
4,7,29,30,34,44
28,37,41,43,44,45
1,2,18,24,34,48
9,25,27,28,31,44
13,21,25,26,45,48
14,16,25,31,41,45
18,28,31,32,38,40
2,3,29,42,47,48
9,16,25,31,39,41
14,18,22,25,26,30
3,7,8,19,24,47
1,2,3,8,37,41
15,17,35,38,44,47
