Number_1,Number_2,Number_3,Number_4,Number_5,Number_6
13,23,25,27,38,48
9,29,30,31,45,49
9,10,18,31,40,43
2,11,13,14,18,42
5,12,18,29,36,48
8,20,23,28,31,38
10,18,20,21,33,34
5,11,13,27,35,49
8,9,12,35,37,46
11,12,19,23,32,34
6,10,19,22,26,27
2,6,10,27,37,45
8,23,33,34,40,44
3,9,15,16,18,49
9,33,35,36,39,49
1,5,36,37,44,49
6,11,31,33,34,40
4,21,31,33,37,45
10,14,15,20,24,32
7,10,16,18,30,49
7,15,29,33,40,49
7,9,10,18,35,36
16,29,31,37,40,41
1,7,16,18,41,44
4,9,21,32,33,40
1,9,11,12,33,40
8,19,21,32,40,47
1,19,24,37,43,45
22,24,28,32,35,45
1,2,8,15,21,49
13,21,26,29,43,44
1,13,20,24,28,36
10,19,20,26,31,46
2,9,29,39,40,48
6,9,15,19,36,37
4,17,18,27,39,40
9,12,36,37,44,47
7,8,28,42,44,45
14,26,35,37,40,48
9,24,36,37,46,48
1,17,19,28,34,36
7,8,18,33,38,46
4,25,37,40,46,47
2,3,9,13,29,39
9,22,39,40,46,48
5,10,25,28,29,30
4,12,25,36,38,41
4,22,23,27,28,45
16,18,26,28,34,45
3,7,19,37,43,47
8,20,36,38,47,49
2,7,9,26,41,43
8,11,21,24,27,36
5,9,17,27,46,47
2,4,32,33,37,46
16,25,28,30,37,41
9,23,24,32,35,43
8,14,15,25,29,37
13,21,25,31,40,48
1,13,18,33,40,47
3,26,30,31,37,45
7,9,20,22,37,45
8,10,23,32,40,45
9,15,26,27,33,48
13,21,29,32,37,48
6,14,20,27,36,42
12,16,32,40,41,44
6,9,17,28,40,44
7,29,33,36,43,45
2,5,8,11,28,35
1,7,11,41,44,47
20,23,27,36,42,49
3,16,31,33,34,43
4,12,21,24,39,45
4,5,14,30,34,36
15,22,24,27,40,43
8,29,30,42,44,46
18,21,22,28,29,31
17,18,31,37,42,49
6,10,15,40,42,44
4,9,11,17,36,45
6,8,20,23,32,37
3,6,10,11,34,46
2,16,20,21,22,46
19,21,22,35,37,48
7,27,29,37,38,40
8,15,16,17,26,39
16,19,23,26,29,33
18,25,30,36,40,48
2,5,18,25,26,47
8,12,19,23,35,42
2,5,7,22,33,35
24,30,32,37,40,43
5,12,13,17,44,49
3,10,11,20,22,43
8,24,26,27,34,37
6,10,21,37,42,43
1,7,11,12,24,32
1,6,31,37,46,48
7,18,20,21,29,37
1,5,13,40,41,42
1,10,12,17,34,48
10,15,18,20,38,48
18,19,20,23,44,45
4,16,18,31,34,39
5,10,23,28,34,43
6,10,13,15,21,45
5,7,37,43,44,47
11,15,22,25,45,47
8,10,13,18,36,47
16,21,26,34,41,48
10,12,17,23,34,49
7,15,23,25,30,35
6,14,17,29,32,33
2,7,14,15,21,33
25,26,29,30,32,40
9,17,28,32,40,45
11,21,22,25,32,34
14,26,29,39,47,49
5,6,9,29,30,31
2,6,10,19,33,44
8,11,24,32,42,43
10,27,31,34,44,45
1,15,31,41,42,46
4,6,7,16,39,40
11,27,28,33,43,46
12,13,20,25,28,35
7,24,29,32,45,47
4,6,11,13,17,31
1,3,12,27,31,39
4,5,6,31,39,43
10,12,15,32,39,47
7,15,30,32,36,49
10,18,27,29,36,41
22,24,27,28,38,48
8,16,26,27,33,42
2,8,16,21,24,40
9,14,16,18,23,48
8,21,24,25,29,33
7,13,20,23,36,38
9,11,13,14,18,39
3,11,13,15,20,24
23,36,38,39,42,47
3,5,8,16,29,35
5,14,20,23,29,38
16,18,24,41,42,49
9,34,36,45,46,47
10,20,26,30,45,48
9,13,21,34,42,49
5,26,33,35,43,44
6,14,16,20,32,41
7,25,34,39,42,45
6,15,22,32,43,44
3,6,27,29,31,41
6,21,39,40,43,46
15,18,25,32,36,39
20,25,26,37,39,42
2,6,11,13,35,42
16,23,34,42,46,49
5,14,15,26,33,46
2,17,21,22,39,47
5,19,22,42,45,46
6,11,25,27,48,49
14,15,36,37,38,49
2,6,12,18,25,47
6,10,26,34,48,49
7,14,26,32,39,40
6,22,27,29,45,46
6,14,19,23,39,43
5,9,30,31,37,42
14,17,18,30,35,41
5,7,15,24,42,48
6,17,34,40,42,47
7,20,25,28,33,39
2,13,27,28,41,49
17,19,23,30,33,45
2,3,17,26,33,34
2,4,31,32,35,40
5,15,18,42,46,48
6,25,30,39,43,48
7,27,31,32,35,39
6,7,11,40,48,49
17,26,37,38,43,45
3,5,10,37,39,46
18,26,35,38,41,45
10,11,12,34,40,48
10,12,18,22,41,46
1,11,19,36,39,47
28,30,35,36,42,48
1,11,32,37,40,46
1,11,15,32,46,48
2,14,17,24,28,47
5,15,31,41,42,44
7,17,18,21,36,38
15,27,30,34,41,48
10,23,31,32,41,43
15,17,18,23,27,43
4,7,27,39,47,49
6,17,20,24,25,29
9,18,27,31,34,49
4,7,16,29,34,40
8,25,34,35,42,43
5,33,34,40,41,45
4,20,23,25,31,44
10,11,12,22,44,47
3,12,24,36,37,39
2,5,9,11,18,20
12,30,38,44,47,49
1,10,11,23,28,37
4,19,30,36,41,43
1,2,5,6,7,22
1,13,18,25,44,46
3,15,21,29,32,44
3,18,27,34,37,38
6,9,11,18,30,34
2,7,12,15,26,32
1,16,29,30,38,48
10,17,29,33,45,46
14,21,38,40,46,49
12,15,21,30,31,35
1,23,26,43,46,49
7,19,33,37,44,47
1,7,15,23,24,27
6,22,27,30,34,49
6,13,30,35,39,42
3,10,22,26,34,49
3,7,13,32,34,48
6,9,32,37,40,49
11,13,20,36,38,41
3,8,31,33,40,45
16,25,31,32,39,46
4,15,22,25,43,47
4,13,24,30,45,48
6,10,37,39,40,46
6,19,22,29,41,42
9,10,23,28,43,47
4,12,14,38,39,48
6,10,11,18,23,47
7,13,15,23,34,48
9,15,19,21,28,33
9,10,14,18,21,41
9,16,19,20,37,40
1,11,16,18,23,39
1,4,26,39,44,46
10,18,20,31,41,49
15,21,23,30,31,49
9,13,31,41,44,46
7,8,20,27,34,49
4,5,22,24,31,49
