Number_1,Number_2,Number_3,Number_4,Number_5,Joker
21,23,26,27,38,6
3,10,13,18,21,14
1,5,11,14,42,10
2,12,17,22,41,10
13,19,28,32,45,9
1,10,14,16,28,16
5,16,25,30,38,2
5,25,33,36,43,4
10,12,21,24,33,10
6,25,32,34,43,13
17,18,19,26,44,8
19,20,23,38,45,6
13,15,23,27,30,4
2,26,28,38,45,14
4,8,17,21,39,19
13,17,18,19,26,13
5,24,25,34,40,20
16,17,29,37,41,1
3,7,14,26,30,13
11,13,25,31,33,5
11,14,22,27,33,2
8,12,24,28,43,10
5,7,17,35,42,5
6,15,27,28,37,18
10,13,20,33,40,8
3,12,22,31,33,7
5,7,22,32,42,3
3,4,9,13,45,3
9,12,30,31,43,4
4,21,22,29,31,2
10,11,35,39,45,14
19,21,33,37,43,1
4,5,15,26,32,13
5,6,18,19,40,13
14,18,19,29,31,7
1,7,13,30,35,6
3,7,11,31,41,10
8,16,25,38,42,3
4,17,19,22,43,18
6,17,29,35,39,11
1,6,7,21,34,1
4,7,23,29,36,15
7,11,35,39,44,5
11,13,23,33,42,1
1,6,13,14,40,4
2,8,11,27,40,4
5,12,34,37,41,1
9,12,38,42,44,14
1,17,19,20,42,3
3,8,24,29,43,13
8,27,33,34,43,13
6,14,22,25,32,20
3,15,27,33,38,12
4,7,14,35,39,17
3,30,37,42,43,10
16,23,25,33,37,8
7,21,22,29,33,5
4,16,21,31,43,17
1,13,15,18,27,14
6,15,17,18,19,8
1,35,39,41,45,10
4,8,10,19,45,9
13,22,37,40,45,10
6,7,18,29,35,9
10,31,35,39,45,3
12,16,21,33,45,9
7,8,26,33,45,7
3,12,18,20,45,5
23,34,38,42,43,7
2,9,14,24,45,8
2,15,25,32,41,19
12,31,34,42,45,7
9,24,29,41,42,7
6,14,28,37,43,8
3,11,13,21,34,6
8,12,30,34,39,15
10,14,31,32,43,16
1,16,23,29,33,5
4,7,22,31,34,10
4,11,31,32,38,14
2,6,18,23,41,4
5,8,28,41,45,6
8,9,10,12,17,3
2,8,25,27,41,20
4,10,13,36,37,9
2,6,8,33,45,14
2,6,12,18,33,1
2,6,14,32,36,6
4,11,25,26,44,9
10,17,35,36,38,4
9,16,32,43,44,12
5,13,24,34,41,3
10,11,13,26,43,13
1,6,8,21,40,18
4,7,11,15,34,18
20,22,29,30,33,13
11,31,34,40,43,9
5,7,9,13,19,18
2,3,9,11,37,12
2,9,30,41,45,17
25,26,32,37,39,6
10,12,14,16,38,12
8,14,32,33,41,7
3,5,10,25,43,20
8,11,14,25,41,14
3,5,8,9,26,4
10,13,21,44,45,1
8,18,21,29,33,4
2,10,17,21,38,16
7,10,18,26,39,3
3,12,26,39,43,16
17,18,21,37,38,6
3,13,28,38,43,11
8,24,26,34,40,19
1,3,4,31,33,2
6,16,32,39,44,11
2,13,24,33,43,14
7,13,22,25,37,13
3,8,26,39,44,6
9,11,12,20,24,8
3,8,18,32,36,19
8,17,27,38,41,6
30,35,37,41,43,8
7,9,10,12,36,9
4,5,6,10,15,2
10,14,26,27,36,16
5,10,32,37,40,15
4,20,21,29,31,17
21,29,33,39,40,18
1,11,38,41,45,13
15,16,20,29,35,11
7,28,35,36,43,11
1,23,28,32,42,7
2,10,19,21,32,8
12,22,25,28,34,8
7,11,32,43,45,20
4,15,28,31,44,12
16,32,33,37,40,13
7,13,15,17,28,3
14,34,41,43,45,14
2,20,29,34,38,8
5,22,36,43,44,2
14,32,33,36,38,3
3,11,22,28,39,5
16,23,28,41,45,17
4,17,24,29,34,11
3,29,31,32,39,20
24,31,32,35,40,19
7,18,22,28,43,2
2,24,26,30,37,11
4,17,33,43,44,6
3,6,35,37,44,8
2,3,10,13,19,12
6,10,13,16,44,14
1,7,28,33,34,16
1,13,16,34,35,19
12,14,16,36,37,2
9,27,38,42,45,14
1,4,6,24,32,20
7,8,24,27,39,3
2,20,26,28,44,16
4,11,14,22,27,3
1,9,22,28,44,7
11,22,26,40,41,13
5,19,20,23,39,4
10,11,18,36,40,16
19,20,23,25,44,2
4,8,32,34,44,8
1,4,12,15,26,19
17,18,21,29,32,20
2,17,27,34,42,9
4,6,14,29,32,7
8,10,27,41,44,17
12,24,35,36,42,17
2,9,17,29,45,20
2,8,13,39,41,1
18,20,23,24,41,8
21,26,39,41,43,3
10,12,30,37,45,5
3,4,23,26,40,11
5,7,10,14,29,14
2,7,9,12,34,19
23,28,29,36,37,17
7,15,16,40,42,20
5,6,20,26,43,6
2,17,24,26,35,20
10,28,31,37,44,3
18,21,35,37,43,19
1,22,29,34,36,2
3,11,28,37,38,6
2,32,35,37,38,16
1,5,13,17,45,6
1,9,12,15,27,3
6,22,29,35,45,16
6,9,13,18,35,1
2,7,11,31,34,18
5,21,22,31,43,17
9,16,32,37,44,19
9,10,13,15,23,3
6,28,36,42,43,12
1,28,31,36,45,3
9,13,22,33,39,20
15,18,19,26,35,15
16,22,23,26,43,11
4,7,17,35,43,16
7,17,23,39,45,19
11,24,27,30,40,5
2,6,28,33,37,4
9,29,30,36,39,12
6,27,29,31,44,16
8,12,15,23,27,16
10,16,24,26,45,6
8,13,18,19,42,17
21,26,36,38,39,7
1,10,13,22,36,20
12,15,27,40,41,10
6,10,16,19,35,6
28,31,35,38,40,10
16,18,19,31,37,6
1,12,31,38,43,1
1,10,26,36,38,14
14,26,30,41,43,8
19,38,41,42,43,12
16,19,26,34,39,12
18,27,28,34,37,12
7,10,17,21,37,5
4,31,35,36,45,7
15,20,27,31,37,6
6,10,15,25,44,13
13,19,29,40,43,3
7,8,15,26,29,19
15,17,35,41,44,5
1,10,20,25,38,16
8,9,15,20,22,11
4,5,18,24,26,13
6,9,18,22,28,13
4,12,26,38,39,20
3,9,16,23,39,1
1,3,21,25,31,6
20,30,32,34,37,1
5,22,23,32,42,2
2,4,20,24,30,11
17,21,33,34,44,5
14,22,23,30,41,15
6,13,20,35,42,11
16,17,19,25,36,1
21,25,27,34,41,2
8,30,39,40,44,16
4,16,23,25,30,9
2,11,19,21,27,17
4,22,28,30,34,1
5,24,25,30,44,3
4,7,8,10,43,10
2,6,11,34,36,5
1,3,18,21,27,11
14,18,28,43,44,13
3,23,37,43,44,14
5,6,10,15,18,20
9,25,31,42,44,18
4,10,12,38,39,4
18,30,33,34,35,3
1,32,37,39,44,12
17,21,24,28,30,10
17,32,34,38,39,4
2,5,17,22,37,6
6,7,20,28,34,6
3,18,19,22,29,14
12,17,32,33,41,15
12,13,19,34,37,13
11,19,24,42,44,12
1,7,16,30,41,10
5,17,25,36,37,2
5,13,25,34,35,5
4,8,10,13,27,4
6,21,29,34,41,2
9,25,32,38,41,6
4,7,15,26,40,6
3,28,31,35,45,8
17,19,21,30,39,2
7,17,18,20,29,5
28,31,34,37,41,1
5,8,20,32,38,3
4,8,9,19,23,5
8,11,34,35,37,6
4,13,14,29,45,2
18,20,24,31,35,16
2,4,7,30,31,12
1,21,33,37,43,6
9,14,24,25,26,15
1,3,21,30,42,18
6,13,30,31,35,18
8,18,22,39,40,6
8,12,21,24,31,18
5,19,24,36,43,1
11,22,25,32,44,17
15,21,28,30,38,4
4,18,22,38,45,2
7,15,29,34,37,2
5,11,22,25,43,9
6,29,36,38,42,14
21,26,29,33,37,6
3,8,15,20,33,16
3,9,22,34,39,19
4,7,9,18,19,4
12,17,30,40,44,6
8,15,16,31,41,15
9,16,22,30,35,7
1,15,17,36,40,13
2,8,13,14,30,9
8,15,16,19,23,14
3,16,20,21,39,2
1,8,11,31,39,2
5,9,10,18,21,11
7,13,16,39,43,5
4,9,12,22,25,20
2,5,13,27,37,14
3,11,17,25,30,18
3,7,9,32,37,7
2,6,7,20,24,12
13,27,29,36,45,17
10,11,14,40,43,6
3,21,26,29,37,11
15,31,39,40,43,14
16,20,22,26,40,12
9,19,30,31,38,16
6,15,21,41,44,17
6,12,24,27,31,10
1,9,18,28,29,14
5,21,28,36,43,18
20,26,33,36,40,2
8,23,24,25,43,15
3,22,27,34,43,19
8,10,14,31,36,9
9,16,21,27,38,13
8,14,24,26,35,8
5,7,16,30,39,19
7,17,18,29,39,19
7,12,29,30,31,16
7,18,28,31,41,3
2,4,5,10,28,3
12,15,27,31,45,19
1,23,27,40,43,14
7,26,27,35,43,16
11,23,25,33,40,14
1,14,15,20,28,17
4,6,35,41,45,9
1,5,6,33,39,14
8,27,36,41,45,16
7,14,28,39,45,11
2,22,24,41,42,3
12,13,17,27,35,9
19,21,24,28,32,11
12,14,16,37,44,6
7,18,21,44,45,1
2,21,29,42,44,6
4,19,23,25,26,15
4,5,11,25,42,9
3,5,13,20,32,11
2,15,22,27,32,18
2,16,21,34,36,15
2,29,31,33,43,15
13,21,25,29,36,7
10,16,25,28,42,4
5,15,18,21,39,20
11,12,22,37,39,16
11,15,28,35,44,5
2,13,33,38,44,6
2,9,22,33,40,12
11,15,21,31,41,8
1,12,25,32,42,3
12,23,29,33,42,18
14,18,29,39,42,8
1,19,23,41,44,18
6,11,37,38,40,2
2,30,32,34,43,3
16,27,30,31,32,7
4,6,24,30,31,16
7,24,25,36,38,1
5,13,18,27,44,15
16,23,39,42,44,11
2,9,22,26,33,9
2,19,20,28,45,4
13,22,37,42,45,18
7,8,9,19,24,13
1,9,25,35,36,4
4,12,17,18,26,6
10,31,35,37,39,18
26,33,35,36,38,15
9,14,32,38,44,1
2,6,9,15,28,15
6,10,15,21,40,18
8,13,19,35,39,1
12,25,31,32,33,3
8,15,22,36,41,11
14,19,26,29,35,8
1,16,26,27,33,20
8,10,13,15,34,14
11,26,37,40,43,18
1,12,20,29,44,5
7,11,21,26,38,1
4,10,13,29,42,11
1,7,11,16,45,3
1,19,28,31,38,8
12,22,30,35,38,14
4,10,14,21,40,3
10,26,27,28,41,11
2,12,21,25,44,5
3,16,23,39,45,5
8,33,36,37,41,15
12,19,27,30,42,18
4,9,28,29,33,20
9,10,17,35,38,3
14,18,24,33,44,13
9,10,19,30,45,6
20,35,36,37,40,9
4,12,13,43,44,2
24,25,29,34,42,15
6,30,31,34,37,7
9,13,20,33,37,14
25,28,36,38,45,17
7,12,32,34,42,16
3,6,28,34,45,11
10,21,22,35,39,4
2,12,23,29,31,15
7,28,30,39,45,18
17,30,37,40,42,12
15,17,23,24,42,19
14,16,40,41,45,6
16,17,18,23,34,13
10,15,30,41,43,3
5,15,25,30,39,11
2,5,21,39,40,8
5,6,35,38,41,1
2,5,12,16,23,1
16,18,23,31,42,12
29,30,34,36,39,6
5,35,39,44,45,8
15,20,25,26,42,13
4,11,12,17,34,9
6,14,21,27,32,4
